food,la_cal,cal,percent,category
"Candies, HERSHEY, REESESTICKS crispy wafers, peanut butter, milk chocolate",41.337,521.0,7.9,High LA
"Pork and beef sausage, fresh, cooked",31.14,396.0,7.9,High LA
"Infant formula, GERBER, GOOD START 2, PROTECT PLUS, ready-to-feed",5.157,66.0,7.8,High LA
"Infant formula, NESTLE, GOOD START 2 ESSENTIALS, with iron, liquid concentrate,",9.801,125.0,7.8,High LA
"Turkey, canned, meat only, with broth",13.14,169.0,7.8,High LA
"Snacks, granola bar, GENERAL MILLS, NATURE VALLEY, CHEWY TRAIL MIX",32.571,415.0,7.8,High LA
"Pork, fresh, loin, center rib (chops), bone-in, separable lean and fat, cooked,",20.034,256.0,7.8,High LA
"Braunschweiger (a liver sausage), pork",25.668,327.0,7.8,High LA
"Crackers, whole grain, sandwich-type, with peanut butter filling",36.117,465.0,7.8,High LA
"Chicken, canned, no broth",14.373,185.0,7.8,High LA
"Fast Foods, grilled chicken filet sandwich, with lettuce, tomato and spread",14.265,182.0,7.8,High LA
"Turkey, thigh, from whole bird, meat only, roasted",12.924,165.0,7.8,High LA
"Infant formula, MEAD JOHNSON, ENFAMIL, AR LIPIL, powder, with ARA and DHA",39.951,509.0,7.8,High LA
"Sausage, turkey, hot, smoked",12.339,158.0,7.8,High LA
"Chicken, broilers or fryers, leg, meat and skin, cooked, roasted",14.337,184.0,7.8,High LA
"Pie, apple, commercially prepared, enriched flour",18.594,237.0,7.8,High LA
"Candies, REESE's Fast Break, milk chocolate, peanut butter, soft nougats, candy",38.07,495.0,7.7,High LA
"Lambsquarters, cooked, boiled, drained, without salt",2.466,32.0,7.7,High LA
"Restaurant, Latino, pupusas del cerdo (pupusas, pork)",17.874,232.0,7.7,High LA
"Infant Formula, MEAD JOHNSON, ENFAMIL, GENTLEASE, powder",39.6,514.0,7.7,High LA
"Infant formula, MEAD JOHNSON, ENFAMIL, NUTRAMIGEN, with iron, ready-to-feed",5.049,66.0,7.7,High LA
"Crackers, saltines, low salt (includes oyster, soda, soup)",32.616,421.0,7.7,High LA
"Snacks, potato chips, white, restructured, baked",36.333,469.0,7.7,High LA
"Margarine-like, vegetable oil spread, fat-free, tub",3.384,44.0,7.7,High LA
"Infant formula, MEAD JOHNSON, ENFAMIL, AR LIPIL, ready-to-feed, with ARA and DHA",5.265,68.0,7.7,High LA
"Spices, curry powder",25.092,325.0,7.7,High LA
"Egg rolls, chicken, refrigerated, heated",15.066,197.0,7.6,High LA
"Snacks, granola bar, KASHI TLC Bar, crunchy, mixed flavors",33.876,446.0,7.6,High LA
"Infant formula, NESTLE, GOOD START 2 ESSENTIALS, with iron, ready-to-feed",4.95,65.0,7.6,High LA
"Infant formula, GERBER, GOOD START, PROTECT PLUS, powder",39.114,512.0,7.6,High LA
"Cake, pound, commercially prepared, butter (includes fresh and frozen)",26.748,353.0,7.6,High LA
"Sauce, pasta, spaghetti/marinara, ready-to-serve, low sodium",3.861,51.0,7.6,High LA
"Chives, raw",2.268,30.0,7.6,High LA
"Fast Foods, Fried Chicken, Drumstick, meat only, skin and breading removed",13.077,172.0,7.6,High LA
"Candies, crispy bar with peanut butter filling",41.337,542.0,7.6,High LA
"Infant Formula, GERBER GOOD START 2, GENTLE PLUS, powder",37.611,492.0,7.6,High LA
Blood sausage,28.8,379.0,7.6,High LA
"Pork, fresh, loin, center loin (chops), boneless, separable lean and fat, cooked",17.433,229.0,7.6,High LA
"Cake, pudding-type, marble, dry mix",31.617,416.0,7.6,High LA
"Olives, pickled, canned or bottled, green",10.935,145.0,7.5,High LA
"Cookies, animal, with frosting or icing",38.349,509.0,7.5,High LA
"Soup, vegetable with beef broth, canned, prepared with equal volume water",2.475,33.0,7.5,High LA
"Doughnuts, cake-type, plain (includes unsugared, old-fashioned)",32.733,434.0,7.5,High LA
"Pork, fresh, shoulder, arm picnic, separable lean only, cooked, braised",14.517,194.0,7.5,High LA
"Soup, vegetable with beef broth, canned, condensed",4.95,66.0,7.5,High LA
"Infant formula, NESTLE, GOOD START 2 ESSENTIALS, with iron, powder",35.46,471.0,7.5,High LA
"Pizza, meat and vegetable topping, regular crust, frozen, cooked",20.619,276.0,7.5,High LA
"Snacks, candy bits, yogurt covered with vitamin C",30.996,415.0,7.5,High LA
"Pokeberry shoots, (poke), cooked, boiled, drained, without salt",1.494,20.0,7.5,High LA
"Turkey, back, from whole bird, meat only, roasted",12.924,173.0,7.5,High LA
"Chicken, broiler, rotisserie, BBQ, thigh meat and skin",17.01,226.0,7.5,High LA
"Chicken, broilers or fryers, leg, meat only, cooked, stewed",13.95,185.0,7.5,High LA
"Turkey, from whole, dark meat, cooked, roasted",12.924,173.0,7.5,High LA
"Cookies, vanilla wafers, lower fat",32.625,441.0,7.4,High LA
"Dutch brand loaf, chicken, pork and beef",20.079,273.0,7.4,High LA
"Babyfood, baked product, finger snacks cereal fortified",31.284,421.0,7.4,High LA
"Pie, pecan, commercially prepared",30.249,407.0,7.4,High LA
"Bread sticks, plain",30.393,412.0,7.4,High LA
"Cookies, graham crackers, plain or honey, lowfat",28.413,386.0,7.4,High LA
"Ham, minced",19.44,263.0,7.4,High LA
"Candies, sugar-coated almonds",35.136,474.0,7.4,High LA
"Sauce, enchilada, red, mild, ready to serve",2.205,30.0,7.4,High LA
"Spices, cumin seed",27.927,375.0,7.4,High LA
"Candies, milk chocolate coated peanuts",37.998,519.0,7.3,High LA
"Chicken, broilers or fryers, thigh, meat only, cooked, roasted",13.14,179.0,7.3,High LA
"Pizza rolls, frozen, unprepared",23.814,328.0,7.3,High LA
"Turkey, heart, all classes, cooked, simmered",12.708,174.0,7.3,High LA
"Quinoa, cooked",8.766,120.0,7.3,High LA
"Candies, MR. GOODBAR Chocolate Bar",39.285,538.0,7.3,High LA
"Knackwurst, knockwurst, pork, beef",22.32,307.0,7.3,High LA
"Chicken, broilers or fryers, meat only, cooked, fried",16.02,219.0,7.3,High LA
"Pizza, meat topping, thick crust, frozen, cooked",19.755,274.0,7.2,High LA
"Cheesefurter, cheese smokie, pork, beef",23.58,328.0,7.2,High LA
"Fast foods, submarine sandwich, cold cut on white bread with lettuce and tomato",15.282,213.0,7.2,High LA
"Bamboo shoots, canned, drained solids",1.359,19.0,7.2,High LA
"Snacks, granola bars, soft, almond, confectioners coating",32.652,455.0,7.2,High LA
"Snacks, popcorn, caramel-coated, with peanuts",28.89,400.0,7.2,High LA
"Doughnuts, yeast-leavened, with creme filling",26.1,361.0,7.2,High LA
"Turkey from whole, light meat, meat and skin, cooked, roasted",12.663,177.0,7.2,High LA
"Doughnuts, yeast-leavened, glazed, enriched (includes honey buns)",30.24,421.0,7.2,High LA
"Soup, bean with pork, canned, prepared with equal volume water",4.491,63.0,7.1,High LA
"Soup, bean with pork, canned, condensed",9.18,129.0,7.1,High LA
"Babyfood, meat, meat sticks, junior",13.14,184.0,7.1,High LA
"Chicken, broiler, rotisserie, BBQ, wing meat and skin",18.18,257.0,7.1,High LA
"Cake, cherry fudge with chocolate frosting",18.756,264.0,7.1,High LA
"Gravy, chicken, canned or bottled, ready-to-serve",3.402,48.0,7.1,High LA
"Oat flour, partially debranned",28.665,404.0,7.1,High LA
"Soup, mushroom with beef stock, canned, condensed",4.86,68.0,7.1,High LA
"Turnover, filled with egg, meat and cheese, frozen",16.2,228.0,7.1,High LA
"Candies, MARS SNACKFOOD US, MARS Almond Bar",33.3,467.0,7.1,High LA
"Pepperoni, beef and pork, sliced",35.19,504.0,7.0,High LA
"Pigeonpeas, immature seeds, cooked, boiled, drained, without salt",7.74,111.0,7.0,High LA
"Pork, fresh, loin, center loin (chops), bone-in, separable lean and fat, cooked,",16.686,238.0,7.0,High LA
"Olive loaf, pork",16.38,235.0,7.0,High LA
"Soup, clam chowder, new england, canned, prepared with equal volume low fat (2%)",4.284,61.0,7.0,High LA
"Babyfood, dinner, beef with vegetables",6.723,96.0,7.0,High LA
"Game meat, squirrel, cooked, roasted",12.06,173.0,7.0,High LA
"Tomato products, canned, sauce, with onions, green peppers, and celery",2.889,41.0,7.0,High LA
"Snacks, popcorn, microwave, low fat",29.835,424.0,7.0,High LA
"Chicken, broilers or fryers, leg, meat only, cooked, roasted",12.231,174.0,7.0,High LA
"Fast Foods, biscuit, with egg and sausage",21.735,312.0,7.0,High LA
"Carrots, frozen, cooked, boiled, drained, without salt",2.601,37.0,7.0,High LA
"Ham, chopped, canned",16.74,239.0,7.0,High LA
"Pork loin, fresh, backribs, bone-in, raw, lean only",12.024,172.0,7.0,High LA
"Toaster Pastries, fruit, frosted (include apples, blueberry, cherry, strawberry)",26.838,385.0,7.0,High LA
"Fast foods, egg, scrambled",14.841,212.0,7.0,High LA
"Cookies, peanut butter sandwich, regular",33.192,478.0,6.9,High LA
"Popcorn, microwave, regular (butter) flavor, made with palm oil",36.936,535.0,6.9,High LA
"Restaurant, Latino, tamale, corn",12.915,186.0,6.9,High LA
"Chicken, broiler, rotisserie, BBQ, thigh, meat only",13.41,193.0,6.9,High LA
"Egg, whole, cooked, hard-boiled",10.692,155.0,6.9,High LA
"School Lunch, pizza, pepperoni topping, thin crust, whole grain, frozen, cooked",17.586,254.0,6.9,High LA
"Fast foods, cheeseburger; single, large patty; with condiments, vegetables and m",18.405,268.0,6.9,High LA
"Rolls, dinner, whole-wheat",18.342,266.0,6.9,High LA
"Cereals, oats, regular and quick, unenriched, cooked with water (includes boilin",4.869,71.0,6.9,High LA
"Cinnamon buns, frosted (includes honey buns)",30.924,452.0,6.8,High LA
"Pork, fresh, shoulder, (Boston butt), blade (steaks), separable lean and fat, ra",12.609,186.0,6.8,High LA
"Crackers, whole-wheat, reduced fat",28.476,416.0,6.8,High LA
"Infant formula, MEAD JOHNSON, NEXT STEP PROSOBEE, powder, not reconstituted",32.4,480.0,6.8,High LA
"Snacks, GENERAL MILLS, CHEX MIX, traditional flavor",29.214,428.0,6.8,High LA
"Turkey, stuffing, mashed potatoes w/gravy, assorted vegetables, frozen, microwav",8.685,128.0,6.8,High LA
"Pork, fresh, loin, sirloin (chops), bone-in, separable lean and fat, cooked, bro",15.057,222.0,6.8,High LA
"Cookies, peanut butter, commercially prepared, regular",31.527,473.0,6.7,High LA
"Cookies, fig bars",23.247,348.0,6.7,High LA
"Biscuits, plain or buttermilk, refrigerated dough, higher fat, baked",21.708,324.0,6.7,High LA
"Fast foods, burrito, with beans, cheese, and beef",12.105,180.0,6.7,High LA
"Pork, cured, bacon, cooked, broiled, pan-fried or roasted, reduced sodium",36.0,541.0,6.7,High LA
"Cookies, sugar, commercially prepared, regular (includes vanilla)",31.041,464.0,6.7,High LA
"Turkey ham, sliced, extra lean, prepackaged or deli-sliced",8.289,124.0,6.7,High LA
"Fast foods, english muffin, with egg, cheese, and sausage",19.188,286.0,6.7,High LA
"Bologna, pork",16.461,247.0,6.7,High LA
"Toaster pastries, fruit (includes apple, blueberry, cherry, strawberry)",26.118,388.0,6.7,High LA
"Soup, chicken vegetable, canned, condensed",4.05,61.0,6.6,High LA
"Bread, paratha, whole wheat, commercially prepared, frozen",21.663,326.0,6.6,High LA
"Rolls, dinner, plain, commercially prepared (includes brown-and-serve)",20.565,310.0,6.6,High LA
"Fast Foods, Fried Chicken, Thigh, meat only, skin and breading removed",11.79,178.0,6.6,High LA
"Fast Food, Pizza Chain, 14"" pizza, sausage topping, regular crust",18.513,280.0,6.6,High LA
"Sausage, chicken or turkey, Italian style,  lower sodium",12.051,183.0,6.6,High LA
"Noodles, chinese, chow mein",31.473,475.0,6.6,High LA
"Fast foods, grilled chicken, bacon and tomato club sandwich, with cheese, lettuc",14.607,220.0,6.6,High LA
"Cookies, sugar wafer, chocolate-covered",34.974,526.0,6.6,High LA
"Pie, cherry, commercially prepared",17.253,260.0,6.6,High LA
"Ice cream cones, cake or wafer-type",27.684,417.0,6.6,High LA
"SCHIFF,TIGER'S MILK BAR",27.675,422.0,6.6,High LA
"Soup, chicken, canned, chunky, ready-to-serve",4.68,71.0,6.6,High LA
"Fast foods, taco with chicken, lettuce and cheese, soft",12.474,189.0,6.6,High LA
"Goose, domesticated, meat and skin, cooked, roasted",20.16,305.0,6.6,High LA
"Fast foods, english muffin, with cheese and sausage",22.185,338.0,6.6,High LA
"Olives, ripe, canned (small-extra large)",7.623,115.0,6.6,High LA
"Chicken, broilers or fryers, breast, meat and skin, cooked, stewed",12.15,184.0,6.6,High LA
Ham and cheese loaf or roll,15.948,241.0,6.6,High LA
"Mushrooms, white, raw",1.44,22.0,6.5,High LA
"Fast Foods, cheeseburger; double, large patty; with condiments, vegetables and m",16.353,253.0,6.5,High LA
"Candies, MARS SNACKFOOD US, M&M's Almond Chocolate Candies",33.669,522.0,6.5,High LA
"Corn, sweet, yellow, canned, whole kernel, drained solids",4.347,67.0,6.5,High LA
"Fast Foods, Fried Chicken, Breast, meat and skin and breading",14.913,230.0,6.5,High LA
"Soup, chicken broth, low sodium, canned",1.044,16.0,6.5,High LA
"Bratwurst, pork, cooked",21.771,333.0,6.5,High LA
"Chicken, broilers or fryers, meat only, roasted",12.33,190.0,6.5,High LA
"Fast foods, griddle cake sandwich, sausage",20.7,318.0,6.5,High LA
"Turkey, retail parts, wing, meat only, cooked, roasted",10.926,170.0,6.4,High LA
"Pork, fresh, composite of trimmed leg, loin, shoulder, and spareribs, (includes",13.554,211.0,6.4,High LA
"Infant formula, PBM PRODUCTS, store brand, soy, ready-to-feed",4.05,63.0,6.4,High LA
"Soup, chicken noodle, reduced sodium, canned, ready-to-serve",2.637,41.0,6.4,High LA
"Pork, cured, shoulder, arm picnic, separable lean and fat, roasted",17.82,280.0,6.4,High LA
"Infant formula, PBM PRODUCTS, store brand, soy, liquid concentrate, not reconsti",8.1,126.0,6.4,High LA
"HOT POCKETS Ham 'N Cheese Stuffed Sandwich, frozen",15.39,241.0,6.4,High LA
"Infant formula, PBM PRODUCTS, store brand, ready-to-feed",4.05,63.0,6.4,High LA
"Fast foods, biscuit, with sausage",23.58,371.0,6.4,High LA
"Fast foods, french toast sticks",21.789,340.0,6.4,High LA
"Turkey, fryer-roasters, meat and skin, cooked, roasted",11.07,172.0,6.4,High LA
"Chicken, broilers or fryers, breast, meat and skin, cooked, roasted",12.69,197.0,6.4,High LA
"Fast foods, bagel, with egg, sausage patty, cheese, and condiments",19.017,295.0,6.4,High LA
Clif Z bar,25.74,409.0,6.3,High LA
"Fast Foods, Fried Chicken, Wing, meat only, skin and breading removed",13.527,215.0,6.3,High LA
"Soup, hot and sour, Chinese restaurant",2.457,39.0,6.3,High LA
"Meat drippings (lard, beef tallow, mutton tallow)",55.611,889.0,6.3,High LA
"Cookie, vanilla with caramel, coconut, and chocolate coating",31.023,489.0,6.3,High LA
"Cookies, chocolate sandwich, with creme filling, regular",29.277,464.0,6.3,High LA
"Fast foods, submarine sandwich, bacon, lettuce, and tomato on white bread",12.951,205.0,6.3,High LA
"Chicken, broilers or fryers, meat only, stewed",11.16,177.0,6.3,High LA
"Chickpeas (garbanzo beans, bengal gram), mature seeds, raw",23.661,378.0,6.3,High LA
"Lasagna, cheese, frozen, prepared",8.037,130.0,6.2,High LA
"Candies, 5TH AVENUE Candy Bar",29.745,482.0,6.2,High LA
"Infant formula, PBM PRODUCTS, store brand, soy, powder",31.32,508.0,6.2,High LA
"Pork, fresh, loin, center rib (chops), boneless, separable lean and fat, cooked,",16.83,273.0,6.2,High LA
"Bockwurst, pork, veal, raw",18.756,301.0,6.2,High LA
"Infant formula, PBM PRODUCTS, store brand, powder",32.265,524.0,6.2,High LA
"Infant formula, PBM PRODUCTS, store brand, liquid concentrate, not reconstituted",8.1,130.0,6.2,High LA
"Luncheon meat, pork and chicken, minced, canned, includes SPAM Lite",12.15,196.0,6.2,High LA
"Cookies, chocolate sandwich, with creme filling, reduced fat",27.126,436.0,6.2,High LA
"Candies, NESTLE, BUTTERFINGER Bar",28.467,459.0,6.2,High LA
"Coffeecake, cinnamon with crumb topping, dry mix",27.081,436.0,6.2,High LA
"Sauce, hoisin, ready-to-serve",13.716,220.0,6.2,High LA
"Danish pastry, cinnamon, enriched",24.948,403.0,6.2,High LA
"Carrots, frozen, unprepared",2.223,36.0,6.2,High LA
"Cabbage, kimchi",0.936,15.0,6.2,High LA
"Crackers, cheese, whole grain",25.101,412.0,6.1,High LA
"Pie, pumpkin, commercially prepared",14.85,243.0,6.1,High LA
"Cereals, oats, instant, fortified, plain, dry",22.032,362.0,6.1,High LA
"Tortillas, ready-to-bake or -fry, flour, refrigerated",18.558,306.0,6.1,High LA
"Bread, oat bran, toasted",15.732,259.0,6.1,High LA
"Snacks, KRAFT, CORNNUTS, plain",27.081,446.0,6.1,High LA
"Bread, oat bran",14.31,236.0,6.1,High LA
"Bread, rice bran, toasted",16.173,264.0,6.1,High LA
"Pork, fresh, shoulder, (Boston butt), blade (steaks), separable lean and fat, co",16.299,267.0,6.1,High LA
"Bread, rice bran",14.886,243.0,6.1,High LA
"Peppers, serrano, raw",1.944,32.0,6.1,High LA
"Chicken, broiler, rotisserie, BBQ, drumstick meat and skin",12.591,206.0,6.1,High LA
"Fish, catfish, channel, farmed, raw",7.2,119.0,6.1,High LA
"Fish, catfish, channel, farmed, cooked, dry heat",8.721,144.0,6.1,High LA
"Pork, fresh, shoulder, whole, separable lean and fat, raw",14.4,236.0,6.1,High LA
"Dandelion greens, cooked, boiled, drained, without salt",2.016,33.0,6.1,High LA
"Fast foods, griddle cake sandwich, egg, cheese, and sausage",17.82,291.0,6.1,High LA
"Chickpeas (garbanzo beans, bengal gram), mature seeds, cooked, boiled, without s",10.017,164.0,6.1,High LA
"Candies, MARS SNACKFOOD US, M&M's Peanut Chocolate Candies",30.924,515.0,6.0,High LA
"Beerwurst, beer salami, pork and beef",16.533,277.0,6.0,High LA
"Cookie, chocolate, with icing or coating",30.474,507.0,6.0,High LA
"Duck, domesticated, meat only, cooked, roasted",12.069,201.0,6.0,High LA
"Babyfood, dinner, vegetables and turkey, junior",3.195,53.0,6.0,High LA
"Salami, cooked, beef and pork",20.304,336.0,6.0,High LA
"Babyfood, dinner, vegetables and ham, junior",3.627,60.0,6.0,High LA
"Cheese substitute, mozzarella",14.976,248.0,6.0,High LA
"Soup, chicken with rice, canned, prepared with equal volume water",1.44,24.0,6.0,High LA
"Fast foods, taco with beef, cheese and lettuce, soft",12.285,206.0,6.0,High LA
"Olives, ripe, canned (jumbo-super colossal)",4.896,81.0,6.0,High LA
"Snacks, shrimp cracker",25.218,426.0,5.9,High LA
"Pie crust, standard-type, frozen, ready-to-bake, enriched, baked",29.889,508.0,5.9,High LA
"Babyfood, dinner, sweet potatoes and chicken, strained",4.383,74.0,5.9,High LA
"Babyfood, cookies",25.623,433.0,5.9,High LA
"Doughnuts, yeast-leavened, with jelly filling",19.926,340.0,5.9,High LA
"Pork, cured, ham, boneless, regular (approximately 11% fat), roasted",10.53,178.0,5.9,High LA
"Formulated bar, LUNA BAR, NUTZ OVER CHOCOLATE",23.238,403.0,5.8,High LA
"Chicken, broilers or fryers, drumstick, meat only, cooked, stewed",9.81,169.0,5.8,High LA
"Mushrooms, white, cooked, boiled, drained, without salt",1.611,28.0,5.8,High LA
"Chorizo, pork and beef",26.37,455.0,5.8,High LA
"Cookies, chocolate, made with rice cereal",25.731,440.0,5.8,High LA
"Pie crust, standard-type, frozen, ready-to-bake, enriched",26.613,457.0,5.8,High LA
"Soup, chicken noodle, canned, condensed",2.799,48.0,5.8,High LA
"Bread, white, commercially prepared, toasted",16.812,290.0,5.8,High LA
"Turkey, light or dark meat, smoked, cooked, skin and bone removed",9.783,170.0,5.8,High LA
"Danish pastry, cheese",21.69,374.0,5.8,High LA
"Fast foods, english muffin, with egg, cheese, and canadian bacon",13.239,228.0,5.8,High LA
"Formulated bar, MARS SNACKFOOD US, SNICKERS MARATHON Protein Performance Bar, Ca",24.039,415.0,5.8,High LA
"Soup, chicken broth, canned, condensed",1.8,31.0,5.8,High LA
"Beverages, rice milk, unsweetened",2.745,47.0,5.8,High LA
"Chicken, broilers or fryers, wing, meat only, cooked, roasted",11.61,203.0,5.7,High LA
"Infant Formula, MEAD JOHNSON, ENFAMIL, Premium, Infant, ready-to-feed",3.771,66.0,5.7,High LA
"Sauce, peanut, made from coconut, water, sugar, peanuts",10.143,179.0,5.7,High LA
"Beans, liquid from stewed kidney beans",2.691,47.0,5.7,High LA
"Scrapple, pork",12.141,213.0,5.7,High LA
"Chicken, broiler, rotisserie, BBQ, wing, meat only",10.503,184.0,5.7,High LA
"Macaroni and cheese, box mix with cheese sauce, unprepared",18.918,334.0,5.7,High LA
"Snacks, granola bar, GENERAL MILLS, NATURE VALLEY, with yogurt coating",23.949,423.0,5.7,High LA
"Tortillas, ready-to-bake or -fry, corn",12.465,218.0,5.7,High LA
"Fast Food, Pizza Chain, 14"" pizza, pepperoni topping, regular crust",16.182,282.0,5.7,High LA
"Soup, chicken noodle, canned, prepared with equal volume water",1.368,24.0,5.7,High LA
"Bread, multi-grain, toasted (includes whole-grain)",16.308,288.0,5.7,High LA
"Chicken, broilers or fryers, dark meat, drumstick, meat only, cooked, roasted",8.82,155.0,5.7,High LA
"Game meat, rabbit, domesticated, composite of cuts, cooked, stewed",11.7,206.0,5.7,High LA
"Headcheese, pork",9.027,157.0,5.7,High LA
"Waxgourd, (chinese preserving melon), cooked, boiled, drained, without salt",0.792,14.0,5.7,High LA
"Bread, multi-grain (includes whole-grain)",15.003,265.0,5.7,High LA
"Pork, fresh, spareribs, separable lean and fat, cooked, braised",22.59,397.0,5.7,High LA
"Infant formula, ABBOTT NUTRITION, SIMILAC, GO AND GROW, ready-to-feed, with ARA",3.735,66.0,5.7,High LA
"Fast foods, roast beef sandwich, plain",13.968,244.0,5.7,High LA
"Pimento, canned",1.314,23.0,5.7,High LA
"Babyfood, dinner, chicken noodle, strained",3.762,66.0,5.7,High LA
"Chicken, broilers or fryers, wing, meat only, cooked, stewed",10.26,181.0,5.7,High LA
"Pork, fresh, loin, center loin (chops), bone-in, separable lean and fat, raw",9.468,170.0,5.6,High LA
"Infant Formula, MEAD JOHNSON, ENFAMIL, Premium, Newborn, powder",28.584,514.0,5.6,High LA
"Fast foods, submarine sandwich, turkey breast on white bread with lettuce and to",8.271,147.0,5.6,High LA
"Rolls, dinner, oat bran",13.239,236.0,5.6,High LA
"Snacks, NUTRI-GRAIN FRUIT AND NUT BAR",22.68,403.0,5.6,High LA
"Chicken, broilers or fryers, dark meat, thigh, meat only, raw",6.732,121.0,5.6,High LA
"Soup, chicken noodle, dry, mix, prepared with water",1.278,23.0,5.6,High LA
"Pizza, cheese topping, regular crust, frozen, cooked",15.12,268.0,5.6,High LA
"Candies, MARS SNACKFOOD US, TWIX Peanut Butter Cookie Bars",30.159,536.0,5.6,High LA
"Fast Food, Pizza Chain, 14"" pizza, meat and vegetable topping, regular crust",13.689,244.0,5.6,High LA
"Chicken, broilers or fryers, leg, meat only, raw",6.777,120.0,5.6,High LA
"Pork, fresh, composite of trimmed retail cuts (loin and shoulder blade), separab",9.837,177.0,5.6,High LA
"Pork, fresh, shoulder, whole, separable lean and fat, cooked, roasted",16.38,292.0,5.6,High LA
"Turkey, whole, giblets, cooked, simmered",9.756,173.0,5.6,High LA
"Soup, chicken broth, canned, prepared with equal volume water",0.9,16.0,5.6,High LA
"Soup, beef and vegetables, canned, ready-to-serve",2.7,48.0,5.6,High LA
"Infant Formula, MEAD JOHNSON, ENFAMIL, Premium, Newborn, ready-to-feed",3.672,66.0,5.6,High LA
"Cheese sauce, prepared from recipe",10.917,197.0,5.5,High LA
"Beverages, Protein powder soy based",21.429,388.0,5.5,High LA
"Pizza, meat and vegetable topping, rising crust, frozen, cooked",15.021,271.0,5.5,High LA
"Waffles, gluten-free, frozen, ready-to-heat",14.346,263.0,5.5,High LA
"Corn, sweet, yellow, cooked, boiled, drained, without salt",5.274,96.0,5.5,High LA
"Tomatoes, red, ripe, canned, packed in tomato juice",0.873,16.0,5.5,High LA
"Game meat, bear, cooked, simmered",14.148,259.0,5.5,High LA
"Snacks, pork skins, plain",30.15,544.0,5.5,High LA
"Tortilla chips, low fat, baked without fat",22.716,415.0,5.5,High LA
"Fat, mutton tallow",49.5,902.0,5.5,High LA
"Snacks, tortilla chips, low fat, unsalted",22.716,416.0,5.5,High LA
"Crackers, water biscuits",21.177,384.0,5.5,High LA
"Pigeonpeas, immature seeds, raw",7.515,136.0,5.5,High LA
"Pork, cured, ham and water product, whole, boneless, separable lean and fat, hea",6.669,123.0,5.4,High LA
"Pork, fresh, loin, center rib (chops), boneless, separable lean only, cooked, pa",12.06,224.0,5.4,High LA
"Waffles, plain, frozen, ready -to-heat, toasted",16.866,312.0,5.4,High LA
"Formulated bar, high fiber, chewy, oats and chocolate",18.801,350.0,5.4,High LA
"Pasta, gluten-free, corn flour and quinoa flour, cooked, ANCIENT HARVEST",8.208,152.0,5.4,High LA
"Bread, oatmeal, toasted",15.678,292.0,5.4,High LA
"Bread, oatmeal",14.427,269.0,5.4,High LA
"Luncheon meat, pork with ham, minced, canned, includes SPAM (Hormel)",17.019,315.0,5.4,High LA
"Corn, sweet, white, cooked, boiled, drained, without salt",5.274,97.0,5.4,High LA
"Egg, quail, whole, fresh, raw",8.46,158.0,5.4,High LA
"Rolls, hamburger or hot dog, whole wheat",14.409,269.0,5.4,High LA
"Candies, MARS SNACKFOOD US, SNICKERS Bar",26.694,491.0,5.4,High LA
"Rolls, hamburger or hot dog, wheat/cracked wheat",14.481,269.0,5.4,High LA
"Mustard, prepared, yellow",3.267,60.0,5.4,High LA
"Snacks, granola bars, QUAKER OATMEAL TO GO, all flavors",20.961,389.0,5.4,High LA
"Ham, chopped, not canned",9.729,180.0,5.4,High LA
"Blackberry juice, canned",2.061,38.0,5.4,High LA
"Pork, cured, ham and water product, whole, boneless, separable lean only, heated",6.669,123.0,5.4,High LA
"Snacks, corn-based, extruded, onion-flavor",27.09,499.0,5.4,High LA
"Soup, vegetable, canned, low sodium, condensed",3.42,65.0,5.3,High LA
"Bologna, beef and pork, low fat",12.231,230.0,5.3,High LA
"Pizza, cheese topping, thin crust, frozen, cooked",13.923,263.0,5.3,High LA
"Tortillas, ready-to-bake or -fry, flour, shelf stable",15.876,297.0,5.3,High LA
"Horseradish, prepared",2.565,48.0,5.3,High LA
"Cookies, chocolate sandwich, with creme filling, regular, chocolate-coated",25.695,481.0,5.3,High LA
"Infant Formula, GERBER GOOD START 2, GENTLE PLUS, ready-to-feed",3.483,66.0,5.3,High LA
"Candies, NESTLE, OH HENRY! Bar",24.345,462.0,5.3,High LA
"Danish pastry, fruit, enriched (includes apple, cinnamon, raisin, lemon, raspber",19.656,371.0,5.3,High LA
"Babyfood, Multigrain whole grain cereal, dry fortified",21.276,405.0,5.3,High LA
"Snacks, granola bar, with coconut, chocolate coated",27.9,531.0,5.3,High LA
"Snacks, popcorn, air-popped",20.367,387.0,5.3,High LA
"Cereals, oats, regular and quick, not fortified, dry",19.8,379.0,5.2,High LA
"Pork, fresh, shoulder, blade, boston (roasts), separable lean and fat, cooked, r",13.95,269.0,5.2,High LA
"Soup, vegetable soup, condensed, low sodium, prepared with equal volume water",1.71,33.0,5.2,High LA
"Bread, whole-wheat, commercially prepared",13.014,252.0,5.2,High LA
"Pork, cured, ham, shank, bone-in, separable lean and fat, heated, roasted",9.918,191.0,5.2,High LA
"Candies, NESTLE, BABY RUTH Bar",23.706,459.0,5.2,High LA
"Dandelion greens, raw",2.349,45.0,5.2,High LA
"Cress, garden, cooked, boiled, drained, without salt",1.17,23.0,5.1,High LA
"Snacks, CLIF BAR, mixed flavors",17.667,346.0,5.1,High LA
"Cookies, oatmeal, reduced fat",18.774,365.0,5.1,High LA
"Soup, stock, chicken, home-prepared",1.836,36.0,5.1,High LA
